id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
49,Kofiau dan Pulau Boo Marine Protected Area,2212,Walo south,2013,-1.28,129.66,NTZ,10,1.154700538,2.333,1.452966315,7,1.154700538,0,0,24,3.214550254,19,2
50,Kofiau dan Pulau Boo Marine Protected Area,2212,Walo south,2014,-1.28,129.66,NTZ,13,5.131601439,8.333,4.333333333,3.667,1.452966315,0,0,27,11.78982612,1,0
51,Kofiau dan Pulau Boo Marine Protected Area,2212,Walo south,2016,-1.28,129.66,NTZ,29,2.516611478,25.333,5.811865258,0,0,0,0,1.333,0.881917104,10.333,1.333333333
52,Kofiau dan Pulau Boo Marine Protected Area,2213,Gebe Kecil Wall,2010,-1.23,129.65,NTZ,19.667,10.68228024,1,1,7.667,1.855921454,0,0,30.667,6.887992773,3.667,2.185812841
53,Kofiau dan Pulau Boo Marine Protected Area,2213,Gebe Kecil Wall,2011,-1.23,129.65,NTZ,30.333,3.929942041,25,3.214550254,6.667,3.282952601,0,0,2.667,0.666666667,7.667,0.333333333
54,Kofiau dan Pulau Boo Marine Protected Area,2213,Gebe Kecil Wall,2014,-1.23,129.65,NTZ,14,2.645751311,27.333,2.603416559,4.333,2.848001248,0,0,6,4.041451884,14.333,9.333333333
55,Kofiau dan Pulau Boo Marine Protected Area,2213,Gebe Kecil Wall,2016,-1.23,129.65,NTZ,17.333,1.855921454,41,2.516611478,0.333,0.333333333,0,0,0.667,0.333333333,10,2.081665999
56,Kofiau dan Pulau Boo Marine Protected Area,2214,Karabas,2009,-1.23,129.7,Use,30,2.645751311,2,1,0,0,0,0,45.333,3.711842909,5,4.509249753
57,Kofiau dan Pulau Boo Marine Protected Area,2214,Karabas,2010,-1.23,129.7,Use,25.333,1.333333333,5,2.081665999,18.667,2.603416559,0,0,24.667,2.905932629,0.667,0.333333333
58,Kofiau dan Pulau Boo Marine Protected Area,2215,Tabek,2009,-1.28,129.73,Use,19,10.21436896,16,1,0,0,0,0,19,2,0.333,0.333333333
59,Kofiau dan Pulau Boo Marine Protected Area,2215,Tabek,2010,-1.28,129.73,Use,29,1.527525232,6,3.055050463,2,1.527525232,0,0,47.667,5.206833117,1.667,0.333333333
60,Kofiau dan Pulau Boo Marine Protected Area,2215,Tabek,2011,-1.28,129.73,Use,21,6.557438524,15.667,0.333333333,0.333,0.333333333,0.333,0.333333333,11.667,2.962731472,1,1
